data_point,questions 20250702-03,questions 20250702-04,questions 20250702-05,questions 20250702-06,questions 202507-07,questions 202507-08
personal items,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to personal items cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to personal items cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to personal items cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to personal items cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to personal items cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to personal items cover."
choice of repairer,Can I choose my own repairer?,Can I choose my own repairer?,Can I choose my own repairer?,Can I choose my own repairer?,Can I choose my own repairer?,Can I choose my own repairer?
agreed value,Can I have my vehicle insured for an agreed value?,Can I have my vehicle insured for an agreed value?,Can I have my vehicle insured for an agreed value?,Can I have my vehicle insured for an agreed value?,Can I have my vehicle insured for an agreed value?,Can I have my vehicle insured for an agreed value?
market value,Can I have my vehicle insured for the market value?,Can I have my vehicle insured for the market value?,Can I have my vehicle insured for the market value?,Can I have my vehicle insured for the market value?,Can I have my vehicle insured to cover its actual market value instead of choosing an agreed value?,Can I have my vehicle insured to cover its actual market value instead of choosing an agreed value?
agreed value or market value,,,,"If the car is a total loss, does this insurance pay me an agreed value or a market value, or are both options available?","If the car is a total loss, does this insurance pay me an agreed value or a market value, or are both options available?","If the car is a total loss, does this insurance pay me an agreed value or a market value, or are both options available?"
new car if written off,"Will a new replacement car be provided if my car is written off, with details of any time limit and other specific conditions.","Will a new replacement car be provided if my car is written off, with details of any time limit and other specific conditions.","Will a new replacement car be provided if my car is written off, with details of any time limit and other specific conditions.","Will a new replacement car be provided if my car is written off, with details of any time limit and other specific conditions.","Will a new replacement car be provided if my car is written off, with details of any time limit and other specific conditions.","Will a new replacement car be provided if my car is written off, with details of any time limit and other specific conditions."
windscreen cover,"Give me the excess that applies to windscreen claims including any option to reduce or remove that excess, with any conditions that apply","Give me the excess that applies to windscreen claims including any option to reduce or remove that excess, with any conditions that apply","Give me the excess that applies to windscreen claims including any option to reduce or remove that excess, with any conditions that apply","Give me the excess that applies to windscreen claims including any option to reduce or remove that excess, with any conditions that apply","Give me the excess that applies to windscreen claims including any option to reduce or remove that excess, with any conditions that apply","Give me the excess that applies to windscreen claims including any option to reduce or remove that excess, with any conditions that apply"
windscreen cover 2,,,,,Does the insurance policy offer any windscreen repairs without me having to pay an excess? Provide details.,Does the insurance policy offer any windscreen repairs without me having to pay an excess? Provide details.
windscreen cover 3,,,,,,Does the policy excess apply to windscreen claims if I have not chosen any optional benefits? Does the insurance policy offer an optional benefit to reduce the excess on windscreen repairs? Provide a summary of the standard excess and any optional excess.
emergency repairs without assessment,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to emergency repairs cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to emergency repairs cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to emergency repairs cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to emergency repairs cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to emergency repairs cover.","Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to emergency repairs cover."
