data_point,question
personal items,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to personal items cover."
rental car after theft,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to hire car after my car is stolen."
choice of repairer,Can I choose to use my own repairer or must I use a repairer chosen by the insurer?
agreed or market value,"Can I choose whether to have my vehicle insured for the market value, agreed value or both?"
new car if written off,"Will a new replacement car be provided if my car is written off, with details of any time limit and other specific conditions."
windscreen cover,"Give me the excess that applies to windscreen claims including any option to reduce or remove that excess, with any conditions that apply"
emergency repairs without assessment,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to emergency repairs cover."
emergency towing and accommodation,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to emergency towing and accommodation cover."
genuine parts,Does the policy cover the use of genuine parts? Are there limits to how old my car can be before the cover for genuine parts changes?
rental car after theft,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to the provision of a hire car after theft."
rental car after accident,"Give me a summary, dollar limit, any other limits, specific conditions and specific exclusions relating to the provision of a hire car after an accident."
replacement keys,"Give me a summary of when the cost of replacing keys will be covered, including cover limit and any exclusions"
baby capsule or seats,"Give me a summary, cover limit, specific conditions and specific exclusions relating to baby capsule or baby seats cover."
modifications,Will the insurance policy cover modifications to my car?
accidental death of driver,"Is there a benefit paid on death of the driver of my car? Provide a summary, benefit limist and any other relevent information."
rideshare cover,Give me a summary of any business purposes covered by this policy such as rideshare.
legal liability,What is the cover limit for legal liability claims?
trailer or caravan,"Give me a summary, cover limit, specific conditions and specific exclusions relating to caravan or trailer cover."
